Ashley West         58 Education officer community   
Patricia Lyons      78 Amenity horticulturist        
Anita Patel         59 Programmer applications       
Christie Mitchell   21 Retail merchandiser           
Benjamin Lawson     77 Ergonomist                    
Angela Duncan       47 Editor film/video             
Emma Snyder         73 Designer multimedia           
Sabrina Campbell    36 Proofreader                   
Marissa Morales     55 Surveyor hydrographic         
Antonio Estrada     93 Loss adjuster chartered       
Michelle Andrews    64 Chief Executive Officer       
Cody Gonzalez       75 Call centre manager           
Bruce Miller        78 Museum education officer      
Pamela Sims         20 Commercial art gallery manager
Michael Castillo    77 Media planner                 
Darrell Ward        65 Educational psychologist      
Joshua Trujillo     86 Early years teacher           
Chelsea Erickson    23 Public relations officer      
Victoria Thompson   59 Gaffer                        
John Suarez         59 Arts administrator            
John Brown          33 Microbiologist                
Jody Brown          43 Education administrator       
Mark Andrews        39 Investment banker corporate   
Jamie Whitney       59 Airline pilot                 
Brittany Nunez      55 Arboriculturist               
Brooke Richards     69 Sports development officer    
Janet Sullivan      74 Music therapist               
Preston Frost       31 Industrial buyer              
Sarah Manning       41 Artist                        
Brett Gilbert       85 Forest/woodland manager       
Ryan Roman          41 Chemical engineer             
Lauren Simmons      53 Scientist audiological        
Tiffany Silva       80 Accountant chartered public f 
Vanessa Sanchez     95 Set designer                  
Michael Larsen      75 Clothing/textile technologist 
Patrick Arnold      82 Television camera operator    
Samantha Olson      24 Amenity horticulturist        
Michael Stevens     79 Horticulturist commercial     
Nathan Nelson       97 Copywriter advertising        
Mark Valentine      69 Biochemist clinical           
Peter Robinson      83 Further education lecturer    
Erin Wiley          21 Paramedic                     
Sandra Burton       74 Secretary/administrator       
Timothy Gordon      60 Chief Financial Officer       
David Schwartz      30 Contractor                    
Curtis Gibson       93 Lecturer higher education     
Phillip Fields      76 Multimedia programmer         
Nathan Manning      70 Designer fashion/clothing     
Jessica Huerta      37 Environmental health practitio
Jeremy Craig        60 Engineer biomedical           
Raymond Wells       84 Garment/textile technologist  
Jennifer Parsons    71 Sports administrator          
Joseph Gibson       56 Therapeutic radiographer      
Elizabeth Johnson   70 Social worker                 
Diana Sullivan      81 Mechanical engineer           
Christopher Medina  22 Police officer                
Rhonda Schaefer     71 Records manager               
Stephen Reed        53 Data scientist                
Samantha White      92 Television/film/video producer
Lori Stephens       20 Equality and diversity officer
John Hopkins        43 Scientist product/process dev 
Jeffrey Vaughn      32 Materials engineer            
Ann Estrada         97 Secretary company             
Elizabeth Harris    64 Regulatory affairs officer    
Victoria Boyd       68 Restaurant manager fast food  
Jasmine Lowery      72 Careers adviser               
Sheryl Webb         36 Scientist marine              
Rodney Sanchez      56 Charity fundraiser            
Jeffrey Drake       55 Press sub                     
Ronald Palmer       51 Operations geologist          
Natasha Roth        86 Adult nurse                   
Kyle Patton         55 Conservator furniture         
Tracy Larson        75 Development worker internatio 
Leslie Wang         64 Community education officer   
Christina Lane      45 Field trials officer          
Alyssa Escobar      52 Chief Financial Officer       
Eric Martin         33 Dietitian                     
Terry Vasquez       71 Teacher early years/pre       
Jason Jacobs        41 English as a second language t
Rhonda Chapman      57 Scientist clinical (histocomp 
Philip Davis Jr.    56 Lexicographer                 
Alyssa Simmons      62 Civil Service administrator   
Jeffrey Foster      39 Psychologist prison and proba 
Taylor Ross         90 Public affairs consultant     
Richard Harvey      37 Visual merchandiser           
Fred Coleman        77 Company secretary             
Catherine Walker    92 Phytotherapist                
Diana Frazier       51 Psychotherapist child         
Rhonda Cochran      45 Call centre manager           
